timestamp,chatbot&p50,chatbot&p90,chatbot&p99
2024-11-16 04:27:28,5.0,42.5,49.25
2024-11-16 04:28:28,25.0,8000.0,9800.0
2024-11-16 04:29:28,33.33333333333333,8000.0,9800.0
2024-11-16 04:30:28,37.5,8000.0,9800.0
2024-11-16 04:31:28,5.0,8000.0,9800.0
2024-11-16 04:32:29,33.33333333333333,8000.0,9800.0
2024-11-16 04:33:29,10.0,7999.999999999998,9800.0
2024-11-16 04:34:29,25.0,7999.999999999998,9800.0
2024-11-16 04:35:29,25.0,8000.0,9800.0
2024-11-16 04:36:29,25.0,8000.0,9800.0
2024-11-16 04:37:29,33.33333333333334,8000.000000000002,9800.000000000002
2024-11-16 04:38:30,37.5,21000.000000000007,29100.0
2024-11-16 04:39:30,3.714285714285714,114.9999999999998,9050.000000000002
2024-11-16 04:40:30,3.533333333333333,38.749999999999964,9050.000000000002
2024-11-16 04:41:30,3.9999999999999996,9500.000000000004,27899.999999999996
2024-11-16 04:42:30,3.5333013256514896,27.503001200480185,9050.239999999996
2024-11-16 04:43:31,3.8,9500.000000000004,27899.999999999996
2024-11-16 04:44:31,3.666684443022336,24.999800026663127,9499.990000666621
2024-11-16 04:45:31,3.666853403048249,5000.700000000021,25999.346361635406
2024-11-16 04:46:31,4.777679007955909,21500.033335555712,29150.003333555564
2024-11-16 04:47:31,4.111249407302039,15999.999999999989,28599.999999999996
2024-11-16 04:48:32,3.888642084999259,85.01000000000002,9350.199866755493
2024-11-16 04:49:32,3.888691401910686,46.2475,9349.900000000001
2024-11-16 04:50:32,3.888967897723064,47.50066657778963,9350.039994667375
2024-11-16 04:51:32,3.6666666666666665,40.0,49.0
2024-11-16 04:52:32,3.88876541837982,46.2512504168056,9350.100000000002
2024-11-16 04:53:33,17.5,6500.000000000002,9650.0
2024-11-16 04:54:33,13.749999999999998,6499.999999999998,9649.999999999998
2024-11-16 04:55:33,17.5,6500.000000000002,9650.0
2024-11-16 04:56:33,13.75,6500.000000000002,9650.0
2024-11-16 04:57:33,4.5,6500.000000000002,9650.0
2024-11-16 04:58:33,41.666666666666664,20000.0,28999.999999999993
2024-11-16 04:59:34,4.4997250687328165,7998.799999999994,27199.520000000008
2024-11-16 05:00:34,4.5,9500.000000000004,27899.999999999996
2024-11-16 05:01:34,4.23076923076923,9500.000000000004,27899.999999999996
2024-11-16 05:02:34,50.0,6000.000000000004,9599.999999999996
2024-11-16 05:03:34,4.0,242.50000000000009,27899.999999999996
2024-11-16 05:04:35,3.666666666666667,50.0,8999.999999999996
2024-11-16 05:05:35,3.666666666666667,250.0,9499.999999999996
2024-11-16 05:06:35,3.7999626621861293,9499.400000000007,27899.859971994407
2024-11-16 05:07:35,3.8000000000000003,235.00000000000014,27899.999999999996
2024-11-16 05:08:35,3.6666311082664387,49.9989998666489,9499.979997332974
2024-11-16 05:09:36,3.8890469416785205,85.00799999999998,9350.080000000002
2024-11-16 05:10:36,17.5,6500.000000000002,9650.0
2024-11-16 05:11:36,17.500000000000004,6500.000000000001,9649.999999999998
2024-11-16 05:12:36,17.499999999999996,6500.0,9650.0
2024-11-16 05:13:36,17.5,6500.000000000002,9650.0
2024-11-16 05:14:36,29.166666666666664,6500.000000000002,9650.0
2024-11-16 05:15:37,31.25,6500.000000000002,9650.0
2024-11-16 05:16:37,13.75,6500.000000000002,9650.0
2024-11-16 05:17:37,13.75,6500.000000000002,9650.0
2024-11-16 05:18:37,37.49999999999999,20000.0,28999.999999999993
2024-11-16 05:19:37,4.230691135073605,234.96399999999986,27899.759999999995
2024-11-16 05:20:38,4.332732973117203,5000.900540324198,9500.090054032418
2024-11-16 05:21:38,4.333333333333334,50.0,25999.999999999985
2024-11-16 05:22:38,4.5,7249.9999999999945,25799.999999999978
2024-11-16 05:23:38,4.076897045024536,49.99950003333112,25999.48000000003
2024-11-16 05:24:38,3.857142857142857,50.0,8999.999999999996
2024-11-16 05:25:38,4.500077772592938,16000.0,28600.000000000004
2024-11-16 05:26:39,4.5,7249.9999999999945,25799.999999999978
2024-11-16 05:27:39,4.1668305427342665,55.00699966691112,9050.219933353774
2024-11-16 05:28:39,4.333333333333334,100.0,9499.999999999996
2024-11-16 05:29:39,3.66657778962805,18.99940000000001,24.39994
2024-11-16 05:30:40,4.5,6500.000000000002,9650.0
2024-11-16 05:31:40,3.8888888888888884,46.25,9349.999999999996
2024-11-16 05:32:40,3.8888888888888884,47.5,9349.999999999996
2024-11-16 05:33:40,3.6666666666666665,35.00000000000001,48.5
2024-11-16 05:34:40,3.8888888888888884,84.99999999999997,9349.999999999996
2024-11-16 05:35:41,3.6666666666666665,35.00000000000001,48.5
2024-11-16 05:36:41,3.8888888888888884,46.25,9349.999999999996
2024-11-16 05:37:41,29.166666666666664,6500.0,9650.0
2024-11-16 05:38:41,5.0,85.0,98.5
2024-11-16 05:39:41,5.0,42.5,49.25
2024-11-16 05:40:41,5.0,70.00000000000001,97.0
2024-11-16 05:41:42,5.0,35.00000000000001,48.5
2024-11-16 05:42:42,5.0,70.00000000000003,97.0
2024-11-16 05:43:42,5.0,45.0,49.5
2024-11-16 05:44:42,5.0,45.0,49.5
2024-11-16 05:45:42,5.0,42.5,49.25
2024-11-16 05:46:42,5.0,35.000000000000014,48.5
2024-11-16 05:47:43,5.0,35.000000000000014,48.5
2024-11-16 05:48:43,5.0,45.0,49.5
2024-11-16 05:49:43,5.0,45.0,49.5
2024-11-16 05:50:43,5.0,70.0,96.99999999999999
2024-11-16 05:51:43,5.0,42.5,49.25
