timestamp,unknown_chatbot&p50,unknown_chatbot&p90,unknown_chatbot&p99
2024-11-16 22:55:39,5.0,34.999999999999986,48.5
2024-11-16 22:56:39,29.166666666666664,6500.000000000002,9650.0
2024-11-16 22:57:39,13.75,6500.000000000001,9649.999999999998
2024-11-16 22:58:39,29.166666666666664,6500.000000000002,9650.0
2024-11-16 22:59:40,17.5,6499.999999999998,9649.999999999998
2024-11-16 23:00:40,17.5,6500.000000000002,9650.0
2024-11-16 23:01:40,17.5,6500.000000000002,9650.0
2024-11-16 23:02:40,17.5,6500.000000000002,9650.0
2024-11-16 23:03:40,3.8000000000000003,6500.000000000002,9650.0
2024-11-16 23:04:41,17.5,6500.000000000002,9650.0
2024-11-16 23:05:41,17.5,6500.000000000002,9650.0
2024-11-16 23:06:41,37.5,12000.000000000013,28200.0
2024-11-16 23:07:41,4.230684032406932,234.976,27899.84
2024-11-16 23:08:41,3.933253317330133,6332.944314771594,9633.29443147716
2024-11-16 23:09:42,3.9333333333333336,7249.999999999998,9725.0
2024-11-16 23:10:42,4.111353048785004,8000.699999999999,27200.653028586647
2024-11-16 23:11:42,3.8888395105620237,23.5002,9350.039994667375
2024-11-16 23:12:42,3.8888888888888884,42.499999999999986,9349.999999999996
2024-11-16 23:13:42,37.5,12000.000000000013,28200.0
2024-11-16 23:14:43,4.143058545600031,900.1600000000013,27800.320000000007
2024-11-16 23:15:43,3.800124477638481,4750.250083361122,25800.933333333312
2024-11-16 23:16:43,3.533333333333333,38.749999999999964,9050.000000000002
2024-11-16 23:17:43,3.8888888888888884,204.99999999999994,9349.999999999996
2024-11-16 23:18:43,3.889086463658591,85.01,9350.100000000002
2024-11-16 23:19:43,4.111111111111111,6500.000000000002,9650.0
2024-11-16 23:20:44,3.8889382759949034,42.498999999999995,9349.959994665951
2024-11-16 23:21:44,3.8888888888888884,46.25,9349.999999999996
2024-11-16 23:22:44,4.110661987888479,6499.999999999997,9650.0
2024-11-16 23:23:44,4.111130867709815,6499.899979995997,9649.9899979996
2024-11-16 23:24:44,4.111032128603268,6500.399813420401,9650.03998134204
2024-11-16 23:25:45,4.111111111111111,6500.000000000002,9650.0
2024-11-16 23:26:45,31.249999999999996,21000.000000000007,29100.0
2024-11-16 23:27:45,3.533333333333333,27.499999999999968,26200.000000000007
2024-11-16 23:28:45,3.8569673488596217,49.998166044278484,9499.944986829674
2024-11-16 23:29:45,3.666666666666667,100.0,9499.999999999996
2024-11-16 23:30:46,4.1110419814535,7999.800026663113,27199.813333333346
2024-11-16 23:31:46,25.00000000000002,20000.0,29000.0
2024-11-16 23:32:46,3.666666666666667,25.0,27999.999999999985
2024-11-16 23:33:46,3.8,7249.9999999999945,25799.999999999978
2024-11-16 23:34:46,3.666666666666667,100.0,25999.999999999985
2024-11-16 23:35:47,3.7999626621861293,6500.000000000002,9650.0
2024-11-16 23:36:47,3.8889382759949034,46.2495,9349.959994665951
2024-11-16 23:37:47,3.8888888888888884,92.5,9349.999999999996
2024-11-16 23:38:47,13.75,6500.000000000002,9650.0
2024-11-16 23:39:47,17.5,6500.000000000002,9650.0
2024-11-16 23:40:47,17.5,6499.999999999999,9649.999999999998
2024-11-16 23:41:48,29.166666666666664,6500.000000000002,9650.0
2024-11-16 23:42:48,4.5,6500.000000000002,9649.999999999996
2024-11-16 23:43:48,17.5,6500.000000000002,9650.0
2024-11-16 23:44:48,7.5,6500.000000000002,9650.0
2024-11-16 23:45:48,4.5,6500.000000000001,9649.999999999998
2024-11-16 23:46:49,43.75,21000.000000000007,29100.0
2024-11-16 23:47:49,4.555555555555555,13999.999999999993,28400.00000000001
2024-11-16 23:48:49,4.333511178296986,15001.86704007467,28500.186704007472
2024-11-16 23:49:49,3.499950007498875,249.9910000000001,9499.985001499852
2024-11-16 23:50:49,3.93331732735905,15332.69615766749,28533.269615766756
2024-11-16 23:51:50,3.666666666666667,100.0,25999.999999999985
2024-11-16 23:52:50,3.6669868203404303,100.10800000000052,26001.439999999988
2024-11-16 23:53:50,3.3999466559978666,18.998499499833294,45.4994998332778
2024-11-16 23:54:50,3.666666666666667,100.0,9499.999999999996
2024-11-16 23:55:50,3.8001493811352964,6499.999999999998,9649.999999999998
2024-11-16 23:56:51,3.5333475322321957,38.75049916674888,9050.01996666996
2024-11-16 23:57:51,4.111111111111111,6500.000000000002,9650.0
2024-11-16 23:58:51,29.166666666666664,6500.000000000002,9650.0
2024-11-16 23:59:51,17.5,6500.000000000002,9650.0
2024-11-17 00:00:51,13.75,6500.000000000002,9650.0
2024-11-17 00:01:52,12.5,6499.999999999999,9649.999999999998
2024-11-17 00:02:52,7.5,6500.000000000001,9650.0
2024-11-17 00:03:52,7.5,6499.999999999999,9649.999999999998
2024-11-17 00:04:52,29.166666666666664,6500.000000000002,9650.0
2024-11-17 00:05:52,13.75,6500.000000000002,9650.0
