timestamp,chatbot&p50,chatbot&p90,chatbot&p99
2024-11-18 00:05:34,5.0,160.0000000000001,241.0
2024-11-18 00:06:34,25.0,8000.0,9800.0
2024-11-18 00:07:34,25.0,8000.0,9800.0
2024-11-18 00:08:34,17.5,8000.0,9800.0
2024-11-18 00:09:34,5.0,8000.0,9800.0
2024-11-18 00:10:35,25.0,8000.0,9800.0
2024-11-18 00:11:35,25.0,8000.0,9800.0
2024-11-18 00:12:35,33.33333333333333,8000.0,9800.0
2024-11-18 00:13:35,37.5,8000.0,9800.0
2024-11-18 00:14:35,33.33333333333333,8000.0,9800.0
2024-11-18 00:15:35,25.0,8000.0,9800.0
2024-11-18 00:16:36,25.0,19999.999999999993,28999.999999999996
2024-11-18 00:17:36,25.0,13999.999999999993,28400.00000000001
2024-11-18 00:18:36,37.5,23333.333333333343,29333.33333333333
2024-11-18 00:19:36,25.0,14000.000000000015,28400.000000000007
2024-11-18 00:20:36,33.33333333333333,5999.999999999998,9600.000000000004
2024-11-18 00:21:36,37.49999999999999,20000.0,28999.999999999993
2024-11-18 00:22:37,33.33333333333333,13999.999999999993,28400.00000000001
2024-11-18 00:23:37,31.25,6500.0,9650.0
2024-11-18 00:24:37,41.666666666666664,20000.0,28999.999999999993
2024-11-18 00:25:37,5.0,14000.000000000004,28399.999999999993
2024-11-18 00:26:37,33.33333333333333,8000.0,9800.0
2024-11-18 00:27:37,33.33333333333333,8000.0,9800.0
2024-11-18 00:28:37,33.33333333333333,8000.0,9800.0
2024-11-18 00:29:38,33.33333333333333,8000.0,9800.0
2024-11-18 00:30:38,37.5,8000.0,9800.0
2024-11-18 00:31:38,33.33333333333333,8000.0,9800.0
2024-11-18 00:32:38,33.33333333333334,8000.000000000002,9800.000000000002
2024-11-18 00:33:38,33.33333333333333,8000.0,9800.0
2024-11-18 00:34:38,25.0,8000.0,9800.0
2024-11-18 00:35:39,50.0,8000.0,9800.0
2024-11-18 00:36:39,41.666666666666664,20000.0,28999.999999999993
2024-11-18 00:37:39,5.0,13999.999999999993,28400.00000000001
2024-11-18 00:38:39,17.5,16000.000000000007,28600.000000000004
2024-11-18 00:39:39,29.16666666666667,6500.000000000004,9650.0
2024-11-18 00:40:39,29.166666666666664,16000.000000000007,28600.000000000004
2024-11-18 00:41:40,17.499999999999996,6499.999999999999,9650.0
2024-11-18 00:42:40,41.666666666666664,23333.333333333332,29333.33333333333
2024-11-18 00:43:40,41.666666666666664,20000.0,28999.999999999993
2024-11-18 00:44:40,50.0,22000.0,29200.000000000004
2024-11-18 00:45:40,62.49999999999999,21000.000000000007,29100.0
2024-11-18 00:46:40,29.166666666666664,6500.000000000002,9650.0
2024-11-18 00:47:41,29.166666666666664,6500.000000000002,9650.0
2024-11-18 00:48:41,29.166666666666664,6500.000000000002,9650.0
2024-11-18 00:49:41,4.5,6499.999999999999,9650.0
2024-11-18 00:50:41,17.5,6500.000000000002,9650.0
2024-11-18 00:51:41,6.25,6500.000000000002,9650.0
2024-11-18 00:52:41,7.5,6500.000000000002,9650.0
2024-11-18 00:53:42,17.5,6499.999999999998,9650.0
2024-11-18 00:54:42,4.5,6500.000000000002,9650.0
2024-11-18 00:55:42,13.75,6500.000000000002,9650.0
2024-11-18 00:56:42,50.0,20000.0,29000.0
2024-11-18 00:57:42,37.49999999999999,14000.000000000004,28399.999999999985
2024-11-18 00:58:42,17.5,6500.000000000002,9650.0
2024-11-18 00:59:43,13.75,6500.000000000002,9650.0
2024-11-18 01:00:43,31.249999999999996,12000.000000000013,28200.0
2024-11-18 01:01:43,31.249999999999996,21000.000000000007,29100.0
2024-11-18 01:02:43,29.166666666666664,6500.000000000002,9650.0
2024-11-18 01:03:43,29.166666666666664,6500.000000000002,9650.0
2024-11-18 01:04:43,31.249999999999996,21000.000000000007,29100.0
2024-11-18 01:05:44,31.249999999999996,21000.000000000007,29100.0
2024-11-18 01:06:44,17.5,6499.999999999998,9650.0
2024-11-18 01:07:44,13.75,6500.000000000002,9650.0
2024-11-18 01:08:44,17.5,6500.000000000002,9650.0
2024-11-18 01:09:44,17.5,6500.000000000002,9650.0
2024-11-18 01:10:44,29.166666666666664,6499.999999999999,9649.999999999998
2024-11-18 01:11:45,25.0,8000.0,9800.0
2024-11-18 01:12:45,37.5,8000.0,9800.0
2024-11-18 01:13:45,5.0,8000.0,9800.0
2024-11-18 01:14:45,25.0,8000.0,9800.0
2024-11-18 01:15:45,33.33333333333333,8000.0,9800.0
2024-11-18 01:16:45,4.0,35.00000000000001,48.5
2024-11-18 01:17:46,5.0,42.5,49.25
2024-11-18 01:18:46,5.0,42.5,49.25
2024-11-18 01:19:46,5.0,42.5,49.25
