timestamp,unknown_chatbot&p50,unknown_chatbot&p90,unknown_chatbot&p99
2024-11-15 03:26:53,5.0,45.0,49.5
2024-11-15 03:27:54,37.5,8000.0,9800.0
2024-11-15 03:28:54,37.5,8000.0,9800.0
2024-11-15 03:29:54,37.49999999999999,6500.0,9649.999999999998
2024-11-15 03:30:54,31.25,6500.000000000002,9650.0
2024-11-15 03:31:54,17.499999999999996,6499.999999999999,9650.0
2024-11-15 03:32:54,17.5,6500.000000000002,9650.0
2024-11-15 03:33:55,31.25,6500.000000000002,9650.0
2024-11-15 03:34:55,7.5,6500.000000000002,9650.0
2024-11-15 03:35:55,17.5,6500.000000000002,9650.0
2024-11-15 03:36:55,29.166666666666668,6500.0,9649.999999999998
2024-11-15 03:37:55,50.0,20000.0,28999.999999999993
2024-11-15 03:38:55,50.0,20000.0,28999.999999999993
2024-11-15 03:39:56,10.0,13999.999999999993,28400.00000000001
2024-11-15 03:40:56,13.749999999999998,6499.999999999999,9649.999999999998
2024-11-15 03:41:56,24.999999999999986,20000.0,29000.0
2024-11-15 03:42:56,25.0,13999.999999999993,28400.00000000001
2024-11-15 03:43:56,25.0,20000.0,28999.999999999993
2024-11-15 03:44:56,17.499999999999996,14000.000000000004,28399.999999999985
2024-11-15 03:45:56,13.75,16000.000000000007,28600.000000000004
2024-11-15 03:46:57,37.49999999999999,11999.999999999987,28199.999999999993
2024-11-15 03:47:57,7.5,6499.999999999998,9649.999999999998
2024-11-15 03:48:57,17.5,6500.000000000002,9650.0
2024-11-15 03:49:57,7.5,6500.000000000002,9650.0
2024-11-15 03:50:57,4.5,6500.000000000001,9649.999999999998
2024-11-15 03:51:57,17.5,6500.000000000002,9650.0
2024-11-15 03:52:58,29.166666666666664,6500.000000000002,9650.0
2024-11-15 03:53:58,29.166666666666664,6500.0,9650.000000000002
2024-11-15 03:54:58,13.75,6500.000000000002,9650.0
2024-11-15 03:55:58,17.500000000000004,6500.0,9650.0
2024-11-15 03:56:58,4.5,6499.999999999999,9650.0
2024-11-15 03:57:58,31.249999999999996,12000.000000000007,28199.999999999993
2024-11-15 03:58:59,43.75,21000.000000000007,29100.0
2024-11-15 03:59:59,21.25,21000.000000000007,29100.0
2024-11-15 04:00:59,13.75,6500.000000000002,9650.0
2024-11-15 04:01:59,43.75,21000.000000000007,29100.0
2024-11-15 04:02:59,17.5,16000.000000000007,28600.000000000004
2024-11-15 04:03:59,43.75,12000.000000000013,28200.0
2024-11-15 04:05:00,17.5,6500.000000000002,9650.0
2024-11-15 04:06:00,50.0,20000.0,28999.999999999993
2024-11-15 04:07:00,33.33333333333333,13999.999999999993,28400.00000000001
2024-11-15 04:08:00,17.5,8000.0,9800.0
2024-11-15 04:09:00,37.5,8000.0,9800.0
2024-11-15 04:10:00,25.0,8000.0,9800.0
2024-11-15 04:11:01,33.33333333333333,8000.0,9800.000000000002
2024-11-15 04:12:01,25.0,8000.0,9800.0
2024-11-15 04:13:01,25.0,8000.0,9800.0
2024-11-15 04:14:01,25.0,8000.0,9800.0
2024-11-15 04:15:01,33.33333333333333,8000.0,9800.0
2024-11-15 04:16:01,5.0,8000.000000000002,9800.0
2024-11-15 04:17:01,33.33333333333333,8000.0,9800.0
2024-11-15 04:18:02,17.5,13999.999999999993,28400.00000000001
2024-11-15 04:19:02,4.5,16000.000000000007,28600.000000000004
2024-11-15 04:20:02,43.75,21000.000000000007,29100.0
2024-11-15 04:21:02,4.5,6500.000000000002,9650.0
2024-11-15 04:22:02,37.49999999999999,20000.0,28999.999999999993
2024-11-15 04:23:02,33.33333333333333,13999.999999999984,28399.999999999993
2024-11-15 04:24:03,37.5,20000.000000000007,29000.0
2024-11-15 04:25:03,33.33333333333333,13999.999999999993,28400.00000000001
2024-11-15 04:26:03,41.666666666666664,20000.0,28999.999999999993
2024-11-15 04:27:03,33.33333333333333,14000.000000000011,28399.99999999998
2024-11-15 04:28:03,25.0,8000.000000000002,9800.000000000002
2024-11-15 04:29:03,25.0,8000.0,9800.0
2024-11-15 04:30:04,10.0,8000.0,9800.0
2024-11-15 04:31:04,33.33333333333333,8000.0,9800.0
2024-11-15 04:32:04,10.0,8000.0,9800.0
2024-11-15 04:33:04,25.0,8000.0,9800.0
2024-11-15 04:34:04,25.0,8000.000000000002,9800.000000000002
2024-11-15 04:35:04,25.0,8000.0,9800.0
2024-11-15 04:36:04,5.0,8000.0,9800.000000000002
2024-11-15 04:37:05,17.5,8000.0,9800.0
2024-11-15 04:38:05,5.0,42.5,49.25
2024-11-15 04:39:05,5.0,70.00000000000003,97.0
2024-11-15 04:40:05,4.0,35.00000000000001,48.5
